stock_code,stock_name,hold_amount,hold_ratio,hold_value,change_amount,change_ratio,market_value,netasset_ratio,free_shares_ratio,holder_code,holder_name,parent_org_code,parent_org_name,org_type_code,org_type,org_name_abbr,fundcode,report_date,update_time,daily_change_pct,estimated_contribution_pct
603179,新泉股份,24272612.0,4.7580119,1793260574.56,0.0,0.0,0.0,9.21,4.7580119,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,-5.1,-0.46971
603119,浙江荣泰,13303854.0,3.65749584,1538856792.18,0.0,0.0,0.0,7.91,6.52535204,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,0.08,0.006328
301550,斯菱智驱,10368578.0,4.48322473,1438121768.6,0.0,0.0,0.0,7.39,7.34945393,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,-5.64,-0.41679599999999994
603667,五洲新春,14911462.0,4.07191404,1043504110.76,0.0,0.0,0.0,5.36,4.07191404,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,-1.59,-0.08522400000000001
002050,三花智控,18065845.0,0.42931999,999221886.95,0.0,0.0,0.0,5.13,0.49036038,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,-0.94,-0.048221999999999994
601689,拓普集团,12812376.0,0.73726054,988859179.68,0.0,0.0,0.0,5.08,0.73726054,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,-1.51,-0.076708
688698,伟创电气,9107481.0,4.2599175,900547721.28,0.0,0.0,0.0,4.63,4.2599175,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,-0.86,-0.039818
603009,北特科技,16339891.0,4.82677339,786929150.56,0.0,0.0,0.0,4.04,4.828445,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,-1.81,-0.07312400000000001
002048,宁波华翔,24692350.0,3.03408025,776821331.0,0.0,0.0,0.0,3.99,3.47876893,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,-1.36,-0.05426400000000001
300969,恒帅股份,5370612.0,4.79507819,664344704.4,0.0,0.0,0.0,3.41,10.68516577,018124,永赢先进制造智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,018124,2025-12-31,2026-04-13 19:17:11,-2.59,-0.088319
