stock_code,stock_name,hold_amount,hold_ratio,hold_value,change_amount,change_ratio,market_value,netasset_ratio,free_shares_ratio,holder_code,holder_name,parent_org_code,parent_org_name,org_type_code,org_type,org_name_abbr,fundcode,report_date,update_time,daily_change_pct,estimated_contribution_pct
002463,沪电股份,22680892.0,1.17861784,3465640297.6,0.0,0.0,0.0,10.0,1.17956981,022364,永赢科技智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,022364,2026-06-30,2026-08-05 13:32:09,5.48,0.548
002916,深南电路,7034753.0,1.03275073,3221213398.7,0.0,0.0,0.0,9.3,1.0581608,022364,永赢科技智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,022364,2026-06-30,2026-08-05 13:32:09,6.55,0.6091500000000001
300308,中际旭创,2348003.0,0.21053892,2981963810.0,0.0,0.0,0.0,8.61,0.21154328,022364,永赢科技智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,022364,2026-06-30,2026-08-05 13:32:09,-4.72,-0.406392
300502,新易盛,4808011.0,0.34484403,2918462677.0,0.0,0.0,0.0,8.42,0.38333962,022364,永赢科技智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,022364,2026-06-30,2026-08-05 13:32:09,-2.71,-0.228182
601138,工业富联,39006177.0,0.19656317,2814295670.55,0.0,0.0,0.0,8.12,0.19656317,022364,永赢科技智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,022364,2026-06-30,2026-08-05 13:32:09,9.99,0.8111879999999999
301269,华大九天,17077999.0,3.13106371,2039454640.58,0.0,0.0,0.0,5.89,3.13106371,022364,永赢科技智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,022364,2026-06-30,2026-08-05 13:32:09,4.13,0.24325699999999997
002475,立讯精密,20372058.0,0.27834146,1434192883.2,0.0,0.0,0.0,4.14,0.27897914,022364,永赢科技智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,022364,2026-06-30,2026-08-05 13:32:09,0.9,0.03726
002353,杰瑞股份,8011181.0,0.78245205,1221705102.5,0.0,0.0,0.0,3.53,1.15929571,022364,永赢科技智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,022364,2026-06-30,2026-08-05 13:32:09,4.2,0.14826
300747,锐科激光,12869305.0,2.29154291,683231402.45,0.0,0.0,0.0,1.97,2.46548839,022364,永赢科技智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,022364,2026-06-30,2026-08-05 13:32:09,5.1,0.10046999999999999
002938,鹏鼎控股,6230616.0,0.26884649,656582314.08,0.0,0.0,0.0,1.9,0.26979574,022364,永赢科技智选混合发起A,10352302,永赢基金管理有限公司,1,基金,永赢基金,022364,2026-06-30,2026-08-05 13:32:09,5.15,0.09785
,预计涨幅(按净值占比估算),,,,,,,,,,永赢科技智选混合发起A,,,,,,022364,2026-06-30,,,1.960861
