stock_code,stock_name,hold_amount,hold_ratio,hold_value,change_amount,change_ratio,market_value,netasset_ratio,free_shares_ratio,holder_code,holder_name,parent_org_code,parent_org_name,org_type_code,org_type,org_name_abbr,fundcode,report_date,update_time,daily_change_pct,estimated_contribution_pct
688256,寒武纪,74001.0,0.0117781,118072295.55,0.0,0.0,0.0,10.03,0.0117781,161631,融通人工智能指数(LOF)A,10004953,融通基金管理有限公司,1,基金,融通基金,161631,2026-06-30,2026-08-05 13:32:09,7.24,0.7261719999999999
300502,新易盛,178408.0,0.01279592,108293656.0,0.0,0.0,0.0,9.2,0.01422436,161631,融通人工智能指数(LOF)A,10004953,融通基金管理有限公司,1,基金,融通基金,161631,2026-06-30,2026-08-05 13:32:09,-2.71,-0.24931999999999999
300308,中际旭创,79866.0,0.00716136,101429820.0,0.0,0.0,0.0,8.62,0.00719553,161631,融通人工智能指数(LOF)A,10004953,融通基金管理有限公司,1,基金,融通基金,161631,2026-06-30,2026-08-05 13:32:09,-4.72,-0.4068639999999999
688008,澜起科技,326530.0,0.02671658,101191647.0,0.0,0.0,0.0,8.6,0.02848242,161631,融通人工智能指数(LOF)A,10004953,融通基金管理有限公司,1,基金,融通基金,161631,2026-06-30,2026-08-05 13:32:09,6.06,0.52116
688041,海光信息,264267.0,0.01136956,97858070.1,0.0,0.0,0.0,8.31,0.01136956,161631,融通人工智能指数(LOF)A,10004953,融通基金管理有限公司,1,基金,融通基金,161631,2026-06-30,2026-08-05 13:32:09,6.13,0.509403
603019,中科曙光,418456.0,0.02860033,44871036.88,0.0,0.0,0.0,3.81,0.02860153,161631,融通人工智能指数(LOF)A,10004953,融通基金管理有限公司,1,基金,融通基金,161631,2026-06-30,2026-08-05 13:32:09,4.04,0.153924
688521,芯原股份,119457.0,0.02271412,44335270.98,0.0,0.0,0.0,3.77,0.02271412,161631,融通人工智能指数(LOF)A,10004953,融通基金管理有限公司,1,基金,融通基金,161631,2026-06-30,2026-08-05 13:32:09,4.83,0.182091
002415,海康威视,1046309.0,0.01141652,35783767.8,0.0,0.0,0.0,3.04,0.01156642,161631,融通人工智能指数(LOF)A,10004953,融通基金管理有限公司,1,基金,融通基金,161631,2026-06-30,2026-08-05 13:32:09,0.08,0.002432
002281,光迅科技,138800.0,0.0167721,35663272.0,0.0,0.0,0.0,3.03,0.01778351,161631,融通人工智能指数(LOF)A,10004953,融通基金管理有限公司,1,基金,融通基金,161631,2026-06-30,2026-08-05 13:32:09,1.13,0.03423899999999999
300857,协创数据,97100.0,0.01984212,33004290.0,0.0,0.0,0.0,2.8,0.01994413,161631,融通人工智能指数(LOF)A,10004953,融通基金管理有限公司,1,基金,融通基金,161631,2026-06-30,2026-08-05 13:32:09,5.39,0.15092
688795,摩尔线程,3839.0,0.00081676,2750605.11,0.0,0.0,0.0,0.22,0.0127012,161631,融通人工智能指数(LOF)A,10004953,融通基金管理有限公司,1,基金,融通基金,161631,2026-06-30,2026-08-05 13:32:09,3.01,0.006622
688802,沐曦股份,2962.0,0.00074031,2453424.6,0.0,0.0,0.0,0.19,0.0159861,161631,融通人工智能指数(LOF)A,10004953,融通基金管理有限公司,1,基金,融通基金,161631,2026-06-30,2026-08-05 13:32:09,5.6,0.010639999999999998
688765,禾元生物,16470.0,0.00460699,839970.0,0.0,0.0,0.0,0.07,0.0355877,161631,融通人工智能指数(LOF)A,10004953,融通基金管理有限公司,1,基金,融通基金,161631,2026-06-30,2026-08-05 13:32:09,1.85,0.0012950000000000004
301666,大普微,1220.0,0.00027968,803614.0,0.0,0.0,0.0,0.05,0.00460094,161631,融通人工智能指数(LOF)A,10004953,融通基金管理有限公司,1,基金,融通基金,161631,2026-06-30,2026-08-05 13:32:09,6.7,0.00335
001248,华润新能源,45304.0,0.0004157,458023.44,0.0,0.0,0.0,0.04,0.0,161631,融通人工智能指数(LOF)A,10004953,融通基金管理有限公司,1,基金,融通基金,161631,2026-06-30,2026-08-05 13:32:09,1.58,0.0006320000000000001
,预计涨幅(按净值占比估算),,,,,,,,,,融通人工智能指数(LOF)A,,,,,,161631,2026-06-30,,,1.646696
