fundcode,fundname,holders
000001,华夏成长混合,https://j6.dfcfw.com/charts/StockPos/000001.png?rg=NaN
000002,华夏成长混合(后端),https://j6.dfcfw.com/charts/StockPos/000002.png?rg=NaN
000003,中海可转债债券A,https://j6.dfcfw.com/charts/StockPos/000003.png?rg=NaN
000004,中海可转债债券C,https://j6.dfcfw.com/charts/StockPos/000004.png?rg=NaN
000005,嘉实增强信用定期债券,https://j6.dfcfw.com/charts/StockPos/000005.png?rg=NaN
000006,西部利得量化成长混合A,https://j6.dfcfw.com/charts/StockPos/000006.png?rg=NaN
000008,嘉实中证500ETF联接A,https://j6.dfcfw.com/charts/StockPos/000008.png?rg=NaN
000009,易方达天天理财货币A,https://j6.dfcfw.com/charts/StockPos/000009.png?rg=NaN
000010,易方达天天理财货币B,https://j6.dfcfw.com/charts/StockPos/000010.png?rg=NaN
000011,华夏大盘精选混合A,https://j6.dfcfw.com/charts/StockPos/000011.png?rg=NaN
000012,华夏大盘精选混合A(后端),https://j6.dfcfw.com/charts/StockPos/000012.png?rg=NaN
000013,易方达天天理财货币R,https://j6.dfcfw.com/charts/StockPos/000013.png?rg=NaN
000014,华夏聚利债券A,https://j6.dfcfw.com/charts/StockPos/000014.png?rg=NaN
000015,华夏纯债债券A,https://j6.dfcfw.com/charts/StockPos/000015.png?rg=NaN
000016,华夏纯债债券C,https://j6.dfcfw.com/charts/StockPos/000016.png?rg=NaN
000017,财通可持续混合,https://j6.dfcfw.com/charts/StockPos/000017.png?rg=NaN
000020,景顺长城品质投资混合A,https://j6.dfcfw.com/charts/StockPos/000020.png?rg=NaN
000021,华夏优势增长混合,https://j6.dfcfw.com/charts/StockPos/000021.png?rg=NaN
000024,大摩双利增强债券A,https://j6.dfcfw.com/charts/StockPos/000024.png?rg=NaN
000025,大摩双利增强债券C,https://j6.dfcfw.com/charts/StockPos/000025.png?rg=NaN
000028,华富安鑫债券A,https://j6.dfcfw.com/charts/StockPos/000028.png?rg=NaN
000029,富国宏观策略灵活配置混合A,https://j6.dfcfw.com/charts/StockPos/000029.png?rg=NaN
000030,长城核心优选混合A,https://j6.dfcfw.com/charts/StockPos/000030.png?rg=NaN
000031,华夏复兴混合A,https://j6.dfcfw.com/charts/StockPos/000031.png?rg=NaN
000032,易方达信用债债券A,https://j6.dfcfw.com/charts/StockPos/000032.png?rg=NaN
000033,易方达信用债债券C,https://j6.dfcfw.com/charts/StockPos/000033.png?rg=NaN
000037,广发景宁债券A,https://j6.dfcfw.com/charts/StockPos/000037.png?rg=NaN
000039,农银高增长混合,https://j6.dfcfw.com/charts/StockPos/000039.png?rg=NaN
000041,华夏全球股票(QDII)(人民币),https://j6.dfcfw.com/charts/StockPos/000041.png?rg=NaN
000042,财通中证ESG100指数增强A,https://j6.dfcfw.com/charts/StockPos/000042.png?rg=NaN
000043,嘉实美国成长股票人民币,https://j6.dfcfw.com/charts/StockPos/000043.png?rg=NaN
000044,嘉实美国成长股票美元现汇,https://j6.dfcfw.com/charts/StockPos/000044.png?rg=NaN
000045,工银产业债债券A,https://j6.dfcfw.com/charts/StockPos/000045.png?rg=NaN
