SH,601288,-0.76,2059125,2257391
SH,601398,-0.91,2022092,2673047
SH,601857,1.12,1748758,1976627
SZ,300750,-0.63,1642261,1783575
SH,600519,-0.45,1628231,1628231
SH,601138,1.87,1380157,1380157
SH,601988,-0.51,1214009,1855943
SH,600036,-0.63,798753,976512
SH,601628,-0.41,791086,1073776
SH,688256,0.1,734694,734694
SH,601088,-1.17,716536,942406
SH,601899,-0.86,704581,909402
SH,688041,0.26,678242,678242
SH,600900,-0.75,673855,673855
SZ,000333,-0.62,583648,646720
SH,601318,-0.42,567862,964594
SZ,300502,4.29,551842,613445
SZ,002371,0.88,543115,543548
SH,601728,-0.15,488291,575580
SH,600028,0,481343,614302
SZ,002475,1.54,415771,438487
SH,601166,-0.75,388127,388127
SH,601658,-0.39,359013,594471
SH,603259,0.85,355954,429422
SH,603993,-0.68,353233,432807
SH,688012,0.11,341075,346739
SH,600030,-0.31,338873,434823
SZ,002415,-0.74,336243,340658
SH,600276,-0.47,330815,344205
SH,600183,5.29,323126,325438
SZ,002594,0.18,312435,816992
SH,600000,-0.96,306414,306414
SZ,000858,0.38,290182,290189
SZ,002384,5.25,273854,361816
SZ,300059,-0.84,264929,313912
SH,603986,1.9,262269,275316
SH,600150,-0.16,262193,262193
SH,601319,-0.27,252034,313990
SZ,300394,2.79,252027,252591
SZ,002916,5.19,247555,253646
SH,688981,-0.38,247266,1058661
SH,601816,-1.17,245607,245607
SH,601211,-0.44,239975,313441
SH,688008,0.29,239221,255056
SH,601225,-1.48,237624,237624
SH,600309,0.57,236038,236038
SZ,002463,4.06,234506,234695
SH,688825,-1.24,231051,3431658
SZ,300408,-2.83,230715,245282
SZ,300476,5.46,228238,259259
SZ,002938,3.84,225190,225844
SZ,000651,-0.98,220052,223216
SZ,000001,-0.88,216761,216764
SH,601601,-0.62,215413,302752
SH,600919,-0.59,214343,214343
SZ,000725,1.34,213617,223748
SZ,002142,-0.81,207750,207881
SH,601919,-0.06,192868,234518
SH,688072,-0.14,192514,197952
SH,600406,-0.69,192196,192762
SH,601668,-0.21,188421,188421
SH,600025,-0.81,180163,180163
SH,601328,-0.57,179900,609710
SZ,300760,-0.83,179881,180035
SZ,300433,1.41,175480,186392
SH,600989,0.21,172481,172481
SZ,300274,0.04,169453,221295
SH,601066,-0.84,167134,199580
SH,688498,2.02,167128,169316
SH,601985,-0.33,166173,180998
SH,600176,2.4,165853,167171
SH,600031,-1.2,165420,179486
SH,600887,-1.02,163957,164776
SZ,002352,-0.79,160530,176125
SZ,003816,-0.75,154587,198460
SZ,300124,0.43,153441,172366
SZ,000792,0.88,152290,152291
SH,600111,-1.45,149302,149302
SZ,002281,7.15,147862,155669
SZ,000338,1.53,147849,257738
SH,601872,1.57,146634,146634
SH,600809,-0.7,144871,144871
SZ,002050,0.46,143545,163650
SH,601766,-0.83,143047,168749
SH,601818,-0.32,141541,180211
SH,601688,-0.71,141386,174670
SZ,000063,1.07,141249,167759
SH,601009,-0.08,139337,139337
SH,600487,0.62,138631,139351
SZ,000408,0.99,137514,137515
SH,600690,-0.71,137317,205933
SZ,300604,-1.04,134898,177922
SZ,301165,1.59,134828,134828
SH,600050,-0.9,134498,135688
SH,600584,-0.98,134421,134421
SH,688082,0.69,134167,135624
SH,601869,0.23,133685,272381
SH,600999,-0.55,132854,155668
SH,601229,-0.53,131434,131434
SH,603019,-0.1,128310,128315
SZ,000568,-0.21,127717,127790
SH,601600,0.42,127412,165545
SH,601898,-2.67,126481,183235
SH,601336,-0.12,125731,188077
SH,600016,-0.56,124117,153238
SH,600019,-1.02,123988,126118
SH,600188,-2.76,123281,207562
SH,600346,0.06,122903,122903
SH,688111,-0.94,122764,122764
SH,688506,-1.68,122574,122574
SZ,002493,-0.52,122049,130562
SH,688120,0.39,121862,121862
SH,600489,-0.07,121619,121619
SZ,000776,-0.62,121446,160957
SZ,300857,-0.7,120902,121524
SH,688361,-0.49,120852,120852
SH,600104,0,120815,120815
SH,600018,-0.76,119953,120125
SH,600760,-0.62,119916,120144
SH,600926,-0.05,117216,117216
SZ,301200,1.92,116719,134223
SH,601698,0.15,114185,114185
SZ,300014,-0.34,113947,117228
SH,688521,-0.23,113940,113940
SZ,300442,0.63,113276,113609
SZ,000977,0.01,112653,112779
SH,600660,-0.11,112127,146093
SH,600522,1.27,111603,111603
SH,688525,-0.11,109710,109710
SH,600905,0,108633,108633
SZ,000938,-0.49,107968,107968
SH,600547,-0.29,107963,137699
SH,601888,-0.48,107952,114881
SH,603501,-0.53,107625,112150
SH,600089,0,107018,107018
SH,605117,0.37,106709,106709
SH,601169,0,106349,106349
SZ,000988,2.61,106227,106282
SH,600886,-1.03,105998,113824
SH,688347,-0.56,104645,445970
SH,600015,-0.58,104172,107744
SZ,301308,0.21,103471,155310
SZ,300033,-1.24,103465,177623
SH,601995,-0.51,101535,167651
SZ,002353,1.03,100933,149544
SH,601012,2.12,98591,98591
SZ,002028,0.24,98309,125955
SH,600673,1.24,97761,98021
SH,600362,1.84,97744,163095
SZ,000100,0.62,97574,100884
SZ,002736,-0.29,97182,103544
SH,601633,-0.63,97159,133604
SH,601939,-1.28,95745,2610772
SH,601006,-0.61,95541,95541
SH,601168,0.7,95344,95344
SH,600893,-0.38,95332,95348
SZ,002230,-0.72,94957,104154
SH,600938,1.36,93826,1491490
SZ,002602,-1,93252,101126
SH,603228,9.99,93223,95054
SZ,000807,0.49,92906,92907
SH,688183,1.86,92311,92311
SZ,002008,1.19,92162,99182
SZ,002600,0.39,92088,103858
SZ,002001,-0.42,92077,93186
SZ,002156,-0.56,91973,91982
SZ,000657,0.85,91611,143620
SH,601390,0,91254,110146
SH,688271,-0.67,90863,90863
SH,601881,-0.31,89818,135587
SZ,000617,-1.1,89759,89759
SZ,000538,-0.84,89108,89677
SH,600795,-0.99,88643,88643
SH,601127,-0.67,88325,98805
SZ,002080,2.04,88219,88219
SH,601689,0.66,87066,87066
SH,601727,-0.43,86417,106450
SH,600549,-3.28,86368,88238
SH,600941,-0.95,86232,2071563
SZ,002648,0.55,85879,85934
SZ,301217,3.48,84933,84933
SZ,000301,-0.38,84918,84954
SH,603893,-1.2,84807,84818
SH,600236,-2.36,84420,84420
SH,601868,0,83990,114582
SH,603799,5.65,82564,82823
SH,605499,-0.28,81487,88500
SH,600436,-1.23,80905,80905
SH,688777,-1.89,80696,81105
SZ,001289,-0.74,80318,133172
SH,688249,0.66,80203,88839
SZ,300498,-1.02,79734,89229
SH,688200,0.06,79377,79377
SZ,300757,3.1,78925,81372
SH,601825,-0.47,77995,80242
SH,688396,0.38,77953,77953
SZ,002311,-1.46,77541,77616
SH,600118,0.11,77335,77335
SH,688702,-2.56,77137,155800
SH,600011,-0.42,76764,109573
SH,601991,-1.27,76484,114186
SH,601838,-0.27,75953,75953
SZ,000425,-0.7,75245,97906
SZ,002241,0.09,73798,83336
SH,688002,0.63,73631,73631
SH,600039,-0.93,73565,73565
SH,601958,-0.34,73534,73534
SZ,002027,-0.96,73511,73511
SH,688126,-0.53,73156,85071
SZ,000630,-0.14,73098,87966
SH,603195,-0.5,73033,73166
SH,600674,-0.79,72583,72583
SZ,002179,-0.42,72369,72501
SH,600066,-0.3,71355,71355
SH,601800,-0.81,71158,98418
SH,601179,-1.2,71045,71045
SZ,000708,-0.2,71013,71014
SH,601111,-0.48,70992,125005
SH,601186,-0.47,70975,83786
SZ,002466,1.31,70540,81892
SH,600585,-0.44,70481,93510
SZ,002202,1.36,70095,88024
SZ,300620,2.66,69933,70521
SH,600029,-0.57,69406,93323
SZ,300015,-0.68,68989,80627
SZ,300475,0.18,68797,71779
SH,600703,-0.06,68350,68350
SH,688585,3.12,68168,68168
SH,600026,1.95,68138,97388
SH,601360,-1.31,68106,68106
SH,600988,-1.27,67838,77480
SH,600958,-0.32,67748,77065
SH,688629,-0.15,67651,68716
SH,600482,1.31,66686,66686
SZ,000636,-1.11,66679,66679
SH,600023,-0.19,66373,66373
SH,688036,-0.25,65905,65905
SH,600415,-1.79,65858,65858
SZ,002625,-0.41,65628,65629
SH,601018,-0.58,65367,65367
SZ,001309,1.5,65035,89395
SZ,000703,-0.63,64983,65310
SH,603296,-0.05,64830,123085
SH,688172,-0.34,64481,76792
SZ,300661,0.45,64226,73164
SZ,001965,-0.73,64214,64214
SZ,000960,-0.86,64024,64024
SZ,000975,-0.5,63914,70228
SZ,002460,0.92,63855,110538
SH,600233,-0.9,63447,63447
SH,600115,-1.06,62992,81725
SH,601916,-0.33,62910,80197
SH,601669,0,62874,82858
SH,600048,-0.75,62605,62605
SZ,000021,-0.57,62462,62471
SH,688519,2.1,62346,62346
SH,688017,0.34,61813,61813
SZ,002128,-1.07,61621,85947
SZ,001979,-0.71,61556,62571
SZ,002851,2.81,61319,72957
SH,600875,-1.05,61156,93445
SZ,002304,-0.75,61115,61116
SH,688037,-0.13,60845,60845
SZ,000625,-0.4,60764,72860
SZ,002595,-0.16,60709,61132
SZ,002837,1.45,60706,68433
SH,600438,7.96,59831,59831
SZ,000933,0.61,59561,59599
SH,688141,0.67,59253,59253
SH,600009,-0.58,59004,59197
SZ,300285,-0.54,58990,68946
SZ,002709,-0.6,58867,79524
SH,601061,0.08,58849,58849
SH,600426,0.57,58704,58711
SH,603156,0.54,58263,58263
SZ,300054,1.9,58249,74699
SZ,002064,-0.67,58136,58260
SZ,002185,1.27,58080,58093
SZ,300223,0.52,58072,66605
SH,601901,-0.27,57789,57789
SZ,000768,-0.47,57555,57642
SH,600221,0,57413,57909
SH,601077,-0.61,56918,73139
SH,601788,-0.6,56882,67133
SH,600580,0.75,56854,57017
SH,688766,1.96,56829,56829
SH,688409,0.93,56805,56805
SH,688019,1.42,56605,56605
