market,code,chg_pct,vol_rank,amt_rank
SH,601288,1.24,2087857,2288889
SH,601398,0.53,2049053,2708688
SH,601857,2.06,1763331,1993098
SZ,300750,-0.39,1697088,1843121
SH,600519,-0.2,1613018,1613018
SH,601138,-3.6,1305146,1305146
SZ,300308,-2.41,1084167,1142573
SH,600036,-0.09,787201,962389
SH,601628,-1.85,768388,1042968
SH,601088,1.85,752321,989472
SH,688256,-1.03,718767,718767
SH,600900,0.46,687312,687312
SH,601899,-1.1,679653,877228
SH,688041,-4.08,643842,643842
SZ,000333,0.11,569369,630893
SZ,300502,-3.89,562478,625268
SZ,002371,-0.12,554716,555159
SH,601318,-0.63,548674,932000
SH,601728,0.61,516238,608522
SH,600028,0.8,478500,610674
SZ,002475,-2.78,418994,442603
SH,603259,-0.64,410070,494707
SH,601166,0.11,377757,377757
SH,688012,-0.58,363245,369277
SH,601658,0.2,356837,590868
SH,600276,-0.86,334324,347856
SH,600183,-4.47,332845,335227
SH,600030,-1.12,331567,425449
SH,603993,-2.55,325470,398790
SH,601998,1.17,317136,432919
SZ,002415,-1.04,314080,318204
SZ,002594,-0.36,312226,816445
SZ,300394,-2.16,305108,305791
SH,600000,-0.65,299086,299086
SZ,002384,-3.51,291128,384638
SH,603986,-2.48,289410,303806
SZ,000858,-0.43,280362,280369
SH,688981,-2.21,267401,1144870
SH,688825,-4.67,265274,3939953
SZ,300059,-1.93,256383,303786
SH,600150,-0.76,251280,251280
SZ,002916,-4.19,250241,256398
SH,688008,-3.23,248517,264967
SH,601225,1.47,248192,248192
SH,601319,-0.71,243515,303377
SH,601211,-1.54,238856,312240
SH,601816,-0.4,237779,237779
SZ,300408,-2.58,237054,253144
SZ,002463,-3.17,232872,233060
SZ,300476,-3.36,230747,262109
SH,600309,0.49,230058,230058
SZ,000725,2.63,220691,231157
SZ,000651,0,220273,223440
SZ,000001,-0.08,215209,215212
SZ,002142,1.15,214878,215013
SH,600919,0.69,214710,214710
SH,688072,1.92,207155,213007
SH,601601,-0.52,205283,288514
SH,601919,2,204546,248718
SH,603288,0.06,197040,207361
SH,688498,-2.16,191761,194270
SZ,300274,-0.08,188424,246069
SH,600406,-0.88,186911,187461
SZ,300433,-0.07,183680,195102
SZ,300760,-0.24,180800,180970
SH,601668,0.23,180570,180570
SH,600025,0.73,179417,179417
SH,600176,-3.06,178324,179741
SH,600989,2.18,171821,171821
SH,601985,0.11,165795,180587
SH,601066,-3.06,162262,193762
SH,600031,0.91,159912,173510
SH,600487,-0.28,159168,159995
SH,600887,-0.43,158104,158893
SH,688082,3.33,157121,158827
SZ,301165,-4.96,156633,156633
SZ,002352,-0.36,155491,170596
SZ,002281,-3.13,152139,160172
SZ,003816,0,151834,194925
SH,600584,-1.21,151742,151742
SH,600111,-2.05,151471,151471
SZ,000338,-1.13,150972,263181
SZ,000792,0.89,149697,149699
SZ,300124,-0.88,148042,166301
SH,601766,0.34,145724,171906
SH,600809,0.35,145615,145615
SZ,002050,0.15,144246,164449
SZ,300604,-2.8,143944,189853
SH,601872,-0.44,143808,143808
SH,601009,1.77,141810,141810
SZ,000063,-2.74,141088,167567
SH,601688,-1.23,139778,172684
SH,601818,0,138756,176666
SH,688120,-0.18,137420,137420
SH,603256,-3.1,137167,141043
SH,601229,0.85,135128,135128
SH,600690,-0.13,134190,201244
SH,600188,1.36,133475,224725
SH,600999,-1.85,133448,156364
SH,600050,-0.45,133259,134437
SH,601898,3.58,132429,191853
SZ,002714,1.48,130794,230169
SZ,301200,2.12,130659,150253
SH,603019,-2.19,129583,129588
SH,688361,-1.37,128017,128017
SZ,300857,-3.28,126725,127376
SZ,000568,-0.24,126702,126775
SH,688506,0.53,124267,124267
SH,600019,1.05,124202,126336
SH,600760,-1.45,124104,124340
SH,600346,0.86,123959,123959
SH,601600,-1.67,123847,160914
SH,605117,1.75,123834,123834
SZ,000776,-1.83,122922,162913
SZ,000408,-1.45,122766,122768
SH,600489,-0.7,122637,122637
SH,600016,-0.28,120571,148860
SH,601336,-1.49,120267,179904
SH,600926,2.09,120261,120261
SH,600522,-1.97,120102,120102
SH,688525,-1.46,119311,119311
SZ,300014,-1.39,119144,122574
SZ,002493,-0.54,118593,126866
SH,600018,0.2,118558,118728
SH,688111,-1.01,117317,117317
SZ,301308,-2.17,115587,176207
SZ,000977,-3.1,114662,114791
SH,600104,-0.98,114608,114608
SZ,300442,-4.77,113096,113429
SH,601698,-0.92,112833,112833
SZ,002353,-1.71,112810,167134
SH,600660,1.04,112648,146772
SH,688521,-6.28,111526,111526
SZ,000938,-5.11,111343,111343
SZ,000988,-2.56,111292,111349
SZ,002028,-0.96,110782,141943
SH,600547,0.37,109192,139266
SH,603501,-2.04,108928,113508
SH,688347,-1.99,107858,459663
SH,600673,-4.73,107426,107712
SH,600160,-3.08,106856,106856
SH,600905,-0.26,106060,106060
SZ,002156,0.87,106009,106019
SZ,000657,2.96,105492,165381
SH,601169,0.4,105081,105081
SH,601888,-0.4,105063,111806
SH,600089,-1.79,104896,104896
SZ,000100,0,104414,107956
SH,600886,-0.42,102793,110382
SZ,301217,-6.47,102508,102508
SH,600015,0.46,101863,105357
SZ,000166,-1.53,100959,112179
SH,600938,2.22,100524,1597957
SZ,300033,-2.86,100497,172528
SH,601995,-2.02,100365,165720
SZ,002080,-3.57,100318,100318
SH,601939,1.07,99870,2723260
SH,600893,-1.24,98956,98974
SH,601012,0.16,97378,97378
SH,600362,-3.57,95482,159320
SH,601633,-0.83,95293,131528
SZ,002602,-0.56,95088,103116
SH,688183,-4.04,95058,95058
SH,601006,0.85,94150,94150
SZ,002600,-1.92,91656,103371
SH,600549,-0.35,90423,92382
SZ,002648,3.95,90289,90347
SH,600795,0.2,89356,89356
SZ,002230,-2.83,89241,97885
SZ,002001,1.71,88463,89529
SZ,000538,-0.71,87654,88214
SH,601689,-0.07,87361,87361
SH,601881,-1.46,87356,131869
SH,688200,-1.47,86470,86470
SH,600941,-0.27,86440,2076551
SZ,300757,0.07,86383,89062
SZ,000895,0.4,86190,86201
SH,688249,-1.64,86086,95822
SZ,000617,-2.16,85460,85460
SZ,000301,1.18,84653,84690
SH,688702,-1.58,84242,170150
SH,603893,-6.08,84034,84045
SH,601727,-1.32,84020,103497
SH,688396,-0.31,83584,83584
SH,605499,-0.65,82913,90050
SH,601868,-0.38,82369,112370
SZ,300498,2.38,81994,91758
SH,600236,0.49,80637,80637
SH,600118,-1.08,80539,80539
SH,601825,-0.57,80339,82653
SH,688002,1.28,79581,79581
SH,603799,-2.96,78864,79112
SZ,001289,-0.44,78705,130497
SZ,300620,-2.9,78450,79035
SH,600436,-1.33,77484,77484
SH,601991,-3.26,77104,115112
SH,688585,11.42,77022,77022
SH,601838,0.72,76970,76970
SZ,300475,-0.64,76902,80235
SH,600482,-0.61,76236,76236
SH,600011,0,75774,108160
SZ,002311,1.26,75474,75547
SH,688777,-1.85,74792,75171
SH,600674,1.26,74581,74581
SZ,000630,-2.35,73878,88905
SZ,002179,-1.69,73815,73950
SH,600039,-0.34,73391,73391
SZ,000636,-0.35,73135,73135
SH,688519,-1.86,72812,72812
SZ,002202,-0.82,72584,91149
SH,601958,-2.08,72502,72502
SZ,000425,1.01,72364,94158
SH,600703,2.12,72091,72091
SZ,001309,0.14,71954,98906
SH,688313,-0.52,71934,71934
SZ,300759,0.98,71854,92967
SH,688037,1.87,71121,71121
SH,603195,-0.79,71088,71218
SZ,300661,-4.27,70997,80876
SZ,002027,-1.2,70622,70622
SZ,002428,-1.49,70528,70537
SZ,002466,-2.37,70333,81652
SZ,000708,0.94,70307,70307
SH,688629,-2.33,69799,70898
SH,688017,4.87,69627,69627
SH,600010,-0.44,69526,100402
SH,601179,-2.93,69404,69404
SH,688766,0.05,69333,69333
SH,601186,-0.32,69250,81749
SH,600585,0.06,69128,91715
SH,600988,1.84,69102,78924
SH,601800,-0.5,68930,95337
SH,601231,-0.68,68682,68682
SZ,002241,-1.3,68639,77511
SH,688172,-3.21,68521,81603
SZ,300015,-1.14,68273,79790
SH,601111,-0.67,68199,120086
SZ,000426,-2.78,68132,68149
SH,603156,1.27,68093,68093
SH,600026,0.11,67832,96950
SZ,000975,-0.36,67673,74359
SH,600029,-0.39,67520,90786
SH,600415,3.19,67448,67448
SZ,001979,0.53,67232,68342
SH,600958,-1.42,67001,76215
SH,603296,-3.93,66667,126572
SH,600066,3.04,66042,66042
SZ,000831,-1.38,65711,65711
SH,600233,2.13,65673,65673
SZ,000703,2.43,65667,65998
SH,600023,-0.19,65435,65435
SZ,000021,-2.57,65327,65336
SH,601018,0.3,64783,64783
SZ,300223,-1.7,64599,73875
SH,688036,1.23,64558,64558
SZ,002460,-1.89,64497,111649
SZ,300285,2.34,64185,75018
SZ,002837,-3.31,64142,72307
SZ,002851,-4.14,63856,75975
SZ,002625,-1.94,63775,63776
SH,600048,0.38,62725,62725
SH,601916,0,62694,79922
SZ,300548,-2.92,62546,62673
SZ,300765,-0.24,62266,62266
SH,600875,-1.67,62265,95139
SZ,002185,-1.88,61934,61949
SH,688141,-2.06,61658,61658
SZ,002128,0.66,61509,85791
SH,600105,-1,61506,61506
SZ,002595,-0.88,61343,61770
SH,601669,-0.2,61175,80618
SZ,002422,-0.31,60437,74035
SH,688432,10.34,60177,60177
SZ,300054,-1.05,59871,76779
SZ,300666,0.17,59761,74587
SH,688019,-0.37,59585,59585
SZ,002304,-0.87,59458,59459
SH,688630,0.54,59443,66105
SH,600115,-1.12,59417,77086
SZ,000933,-0.97,59111,59149
SZ,000768,-1.47,59082,59171
SZ,002709,-2.34,59002,79708
SH,601061,-0.07,58898,58898
SZ,000625,-0.83,58780,70481
SH,601077,1.22,58509,75183
SH,600426,1.1,58154,58161
SH,688048,-1.51,57786,57786
SH,600438,-0.61,57761,57761
SH,600580,4.88,57601,57767
SH,688147,-5.31,57036,57036
SH,600009,-0.34,57020,57206
SZ,300136,-2.08,56881,66695
SH,600460,-0.11,56595,56595
SH,600221,0,56556,57045
SH,601233,1.28,56398,56501
SZ,300316,0.88,56356,59924
SH,601788,-1.63,56335,66488
SH,601901,-1.15,56061,56061
SZ,002436,-3.65,56012,62718
SZ,002821,-0.48,55882,63591
SZ,002064,-3.09,55809,55928
SZ,002049,-3.15,55764,55771
SH,600885,-0.87,55760,55760
SH,600096,3.25,55601,55601
SH,600219,-1.64,54892,54892
SZ,002484,-4.46,54824,56832
SH,688469,-0.95,54589,77959
SZ,002532,-1.98,54539,61470
SZ,300450,-1.18,54517,58531
SH,688110,-2.3,54448,54448
SH,600803,1.26,54431,54847
SZ,301358,-2.81,53923,59807
SZ,002920,-1.12,53839,53856
SH,600601,-0.68,53797,55131
SH,600372,-1.5,53760,53760
SZ,300567,-1.57,53745,66219
SZ,300373,-0.72,53699,53819
SZ,301269,-1.53,53494,53494
SH,600879,-1.87,53251,53251
SH,601877,-0.71,53123,53123
SH,601059,-1.2,53088,53088
SH,600378,-2.18,52749,63442
SH,688578,-2.46,52686,52686
SZ,301526,-2.9,52426,140767
SH,603659,-2.23,52340,52340
SZ,300418,-1.4,51797,56631
SH,600498,-3.03,51450,54951
