股票代码,名称,流通市值,市值分位
301583,N托伦斯,66.81,1
2185,华天科技,840.96,3
300475,香农芯创,1219.6,4
600118,中国卫星,1064.48,4
2594,比亚迪,3137.95,4
688041,海光信息,8204.91,4
600879,XD航天电,768.41,3
2241,歌尔股份,709.99,3
2202,金风科技,752.08,3
300065,海兰信,189.12,2
603019,中科曙光,1572.78,4
938,紫光股份,1098.55,4
603259,药明康德,3049.55,4
603083,剑桥科技,548.67,3
600519,贵州茅台,15063.23,4
600410,华胜天成,181.58,2
547,航天发展,288.74,2
2354,天娱数科,138.83,2
300102,乾照光电,221.01,2
600360,华微电子,161.23,2
601698,中国卫通,1388.98,4
600150,中国船舶,2787.49,4
2938,鹏鼎控股,2275.47,4
600396,华电辽能,189.98,2
2131,利欧股份,269.91,2
301005,超捷股份,211.54,2
2414,高德红外,497.56,2
300394,天孚通信,2950.84,4
2402,和而泰,215.42,2
2465,海格通信,336.5,2
603127,昭衍新药,272.44,2
600498,XD烽火通,723.17,3
2342,巨力索具,105.68,2
300058,蓝色光标,480.3,2
2049,紫光国微,729.14,3
2815,崇达技术,140.51,2
858,五 粮 液,2860.29,4
601288,农业银行,19888.91,4
688012,中微公司,4093.94,4
300255,常山药业,241.7,2
600362,江西铜业,890.07,3
300458,全志科技,325.93,2
2149,西部材料,220.64,2
688361,中科飞测,1480.28,4
603538,美诺华,104.04,2
300442,润泽科技,1345.8,4
603698,航天工程,236.32,2
601899,紫金矿业,5710.82,4
603993,洛阳钼业,3055.65,4
300861,美畅股份,92.6,2
2484,江海股份,711.35,3
600988,赤峰黄金,546.43,3
933,神火股份,527.92,3
962,东方钽业,327.17,2
2714,牧原股份,1251.18,4
300342,天银机电,194.91,2
2008,大族激光,1246.62,4
2126,银轮股份,433.36,2
600010,包钢股份,679.61,3
620,盈新发展,169.58,2
1270,铖昌科技,340.59,2
603929,亚翔集成,457.83,2
300115,长盈精密,405.57,2
34,神州数码,251.52,2
811,冰轮环境,523.15,3
688668,鼎通科技,463.23,2
2361,神剑股份,102.99,2
807,云铝股份,802.82,3
603228,景旺电子,687.52,3
601615,明阳智能,257.13,2
688629,华丰科技,931.21,3
688409,富创精密,796.15,3
2317,众生药业,224.98,2
